sl no,brand,country,state,city,top speed kmh,battery capacity kWh,battery type,efficiency wh per km,range km,fast charging power kw dc,fast charge port,seats,drivetrain,electric vehicle type,safety rating,cost
4472,Tesla,Australia,Victoria,Melbourne,231,142.8,Li-ion,136.9,705,187,Type 2,6,AWD,BEV,4.7,119839
4473,Ford,Australia,New South Wales,Sydney,221,41.8,Solid-State,194.8,785,174,CCS,7,FWD,PHEV,3.8,199309
4474,Tesla,USA,IL,Chicago,296,85.8,Li-ion,160,479,56,Type 2,2,FWD,HEV,4.4,91127
4475,BYD,South Korea,Seoul,Seoul,139,33,Solid-State,133.6,301,298,CCS,7,AWD,PHEV,2.4,186180
4476,Volkswagen,Germany,Bavaria,Munich,187,31,NiMH,180.2,518,292,Type 2,5,AWD,HEV,4.2,117518
4477,BMW,UK,England,Manchester,227,80.8,NiMH,152,741,116,CHAdeMO,6,RWD,HEV,3.4,181208
4478,Kia,Germany,Hesse,Frankfurt,226,123.7,Li-ion,199.2,702,230,Type 2,2,AWD,PHEV,4.5,153084
4479,Volkswagen,India,Delhi,Delhi,207,147.9,Solid-State,204.7,762,258,CCS,6,RWD,BEV,4.2,95760
4480,Lucid,USA,NY,New York,172,188.4,Li-ion,132,499,255,CHAdeMO,2,RWD,BEV,3.8,135697
4481,BMW,India,Tamil Nadu,Chennai,271,136.6,NiMH,137.4,229,142,CHAdeMO,7,RWD,HEV,2,127092
4482,Hyundai,UK,England,Birmingham,263,39.3,Li-ion,161.2,365,136,Type 2,5,AWD,HEV,4.4,130652
4483,Hyundai,China,Guangdong,Shenzhen,208,109.6,Li-ion,168.2,625,321,CCS,4,FWD,HEV,2.7,180356
4484,BYD,France,Île-de-France,Paris,132,36.9,NiMH,138,309,144,CHAdeMO,2,RWD,HEV,4.8,192283
4485,Tesla,Canada,Quebec,Montreal,139,137,Li-ion,137.9,470,151,Type 2,5,FWD,BEV,2.1,175201
4486,Hyundai,UK,England,Manchester,132,153.3,NiMH,134.6,790,90,CCS,7,AWD,PHEV,3.5,136931
4487,BMW,France,Provence-Alpes-Côte d'Azur,Marseille,141,195.2,Li-ion,205.3,530,61,Tesla Supercharger,2,FWD,BEV,4.5,84880
4488,Volkswagen,China,Guangdong,Shenzhen,204,40.2,NiMH,146.4,678,71,CHAdeMO,7,FWD,BEV,3.7,127517
4489,BMW,Australia,Queensland,Brisbane,192,132.9,Li-ion,174.4,310,97,CCS,5,RWD,BEV,2.8,162309
4490,BMW,Canada,Quebec,Montreal,246,84.1,Solid-State,135.8,779,228,CHAdeMO,5,AWD,HEV,2.2,90865
4491,Tata,South Korea,Busan,Busan,226,156.7,Solid-State,213.1,684,78,Tesla Supercharger,4,FWD,PHEV,3,175523
4492,Volkswagen,Australia,New South Wales,Sydney,260,62.9,NiMH,168,586,188,CCS,5,AWD,HEV,2.2,141478
4493,Volkswagen,France,Auvergne-Rhône-Alpes,Lyon,241,44.4,Li-ion,169.8,662,234,Type 2,6,RWD,BEV,2.2,176385
4494,Tesla,Japan,Tokyo,Tokyo,192,59.3,Li-ion,152.5,684,155,Tesla Supercharger,4,AWD,BEV,4.6,78584
4495,Volkswagen,France,Provence-Alpes-Côte d'Azur,Marseille,257,33.6,NiMH,172,774,246,CCS,6,AWD,HEV,3,104159
4496,Nissan,South Korea,Busan,Busan,135,156.9,Solid-State,216.8,301,182,Tesla Supercharger,5,FWD,PHEV,3.2,148927
4497,BYD,China,Shanghai,Shanghai,164,100.4,Li-ion,183.7,552,99,CCS,4,AWD,PHEV,4.7,184479
4498,Ford,Australia,Queensland,Brisbane,140,84.2,Solid-State,211.2,787,131,Type 2,6,RWD,BEV,3.1,150930
4499,BYD,Australia,Queensland,Brisbane,150,185.9,Solid-State,132.1,282,154,CCS,2,FWD,PHEV,2.2,193647
4500,Lucid,Canada,British Columbia,Vancouver,238,143.2,NiMH,187.7,792,134,CHAdeMO,2,AWD,PHEV,2.4,111884
4501,Tesla,Canada,British Columbia,Vancouver,133,133,Li-ion,207.1,391,219,CCS,7,RWD,HEV,3.2,113814
4502,Kia,USA,Seattle,Washington,265,34.5,Li-ion,203.3,578,130,Type 2,4,RWD,BEV,3.3,71449
4503,Lucid,UK,England,London,126,59.5,Solid-State,204,620,103,Type 2,6,FWD,HEV,3.9,169776
4504,Lucid,India,Delhi,Delhi,123,85.9,Li-ion,202.9,399,78,CCS,7,FWD,HEV,4.9,106991
4505,Ford,South Korea,Seoul,Seoul,255,93.4,Solid-State,134.1,409,92,CHAdeMO,6,AWD,PHEV,2.4,115155
4506,Tesla,Japan,Osaka,Osaka,175,169.6,Li-ion,159.1,231,55,Type 2,5,AWD,HEV,2.4,140505
4507,BMW,China,Beijing,Beijing,156,35.9,NiMH,218.2,310,213,CHAdeMO,6,FWD,HEV,4.8,171941
4508,Volkswagen,Japan,Kanagawa,Yokohama,266,92,Solid-State,158.2,673,103,Type 2,7,RWD,BEV,4.4,127176
4509,Tata,Australia,Victoria,Melbourne,228,88.3,NiMH,170.3,796,183,CHAdeMO,4,FWD,BEV,2,191134
4510,Volkswagen,Canada,Ontario,Toronto,251,63.7,Li-ion,159.7,669,86,CCS,7,AWD,PHEV,4.2,133432
4511,Kia,Japan,Osaka,Osaka,249,44.6,NiMH,209.8,445,288,Type 2,2,RWD,BEV,2.4,116578
4512,Tesla,France,Provence-Alpes-Côte d'Azur,Marseille,235,88.5,Solid-State,181.6,319,295,CHAdeMO,6,RWD,BEV,2.8,156698
4513,Tata,UK,England,Manchester,190,40.4,NiMH,177,520,93,CCS,7,RWD,PHEV,2.9,127240
4514,Tata,Japan,Kanagawa,Yokohama,200,113.3,Li-ion,205.8,719,85,Type 2,7,FWD,BEV,3.4,165754
4515,Nissan,India,Tamil Nadu,Chennai,194,69.7,Li-ion,139.5,335,251,CHAdeMO,7,AWD,BEV,2.8,190614
4516,BMW,South Korea,Busan,Busan,276,162.5,Li-ion,157.9,747,303,Type 2,6,FWD,BEV,2.1,151915
4517,Hyundai,Canada,British Columbia,Vancouver,186,91.8,Li-ion,212.6,521,302,CCS,7,FWD,BEV,2.5,129767
4518,Tesla,Germany,Hesse,Frankfurt,223,120.1,Solid-State,168.1,646,232,Type 2,5,AWD,PHEV,2.6,163570
4519,Tesla,Australia,New South Wales,Sydney,175,170.3,Solid-State,182.5,662,149,Type 2,5,RWD,BEV,2.5,80315
4520,Lucid,China,Shanghai,Shanghai,261,153.9,Solid-State,168.9,508,88,Tesla Supercharger,5,RWD,HEV,2.7,191036
4521,Lucid,Germany,Hesse,Frankfurt,141,72.1,Solid-State,177.3,447,74,CHAdeMO,7,FWD,PHEV,3.5,93127
4522,Volkswagen,China,Beijing,Beijing,141,160.9,NiMH,136.9,574,64,CHAdeMO,4,RWD,HEV,2.9,149733
4523,Hyundai,UK,England,Birmingham,246,125.3,Solid-State,172.8,485,201,Type 2,4,FWD,PHEV,2.3,191649
4524,Nissan,Australia,Victoria,Melbourne,189,126.2,Solid-State,178.6,687,130,Type 2,6,FWD,HEV,2.5,141231
4525,Volkswagen,Germany,Bavaria,Munich,148,112.6,Solid-State,218.4,493,189,Tesla Supercharger,4,AWD,HEV,3.1,193220
4526,Volkswagen,China,Shanghai,Shanghai,130,183.5,Solid-State,145.1,580,214,Tesla Supercharger,6,FWD,BEV,3.3,198372
4527,Kia,Germany,Bavaria,Munich,130,121.3,Solid-State,201.3,385,188,CHAdeMO,4,AWD,HEV,3.3,160895
4528,Tata,South Korea,Busan,Busan,152,189.8,NiMH,181,427,345,CCS,7,RWD,HEV,2.2,135810
4529,BMW,Canada,British Columbia,Vancouver,269,159.5,NiMH,157.9,387,191,Type 2,5,AWD,HEV,3.6,180236
4530,BYD,India,Karnataka,Bangalore,235,37.8,Li-ion,168,632,159,Tesla Supercharger,6,FWD,BEV,4.3,121946
4531,Tesla,India,Tamil Nadu,Chennai,295,104.7,Li-ion,180.6,237,337,CHAdeMO,4,RWD,BEV,2.9,115046
4532,Ford,UK,England,Manchester,276,116.2,Solid-State,219.1,220,107,Type 2,5,FWD,HEV,5,79459
4533,Nissan,South Korea,Busan,Busan,126,79.8,NiMH,151.4,660,330,CCS,5,FWD,PHEV,2.1,180015
4534,Tata,France,Île-de-France,Paris,253,114.1,Li-ion,189.6,444,350,CHAdeMO,7,FWD,HEV,4,166174
4535,Kia,Germany,Hesse,Frankfurt,245,77.3,NiMH,201.6,256,303,Tesla Supercharger,4,FWD,HEV,4.7,152601
4536,Hyundai,UK,England,London,177,142.3,Solid-State,133.7,418,213,Type 2,6,FWD,PHEV,4.7,107450
4537,Hyundai,South Korea,Seoul,Seoul,160,183.5,Solid-State,213.9,352,306,CHAdeMO,4,FWD,BEV,3.9,75766
4538,Hyundai,India,Maharashtra,Mumbai,158,141.9,Solid-State,163.8,710,231,CHAdeMO,5,AWD,PHEV,2.7,151679
4539,BMW,Canada,Quebec,Montreal,251,157.8,NiMH,196.9,346,197,CHAdeMO,5,FWD,PHEV,4.9,116688
4540,Nissan,Australia,Victoria,Melbourne,161,53.4,NiMH,175.7,352,65,CHAdeMO,7,RWD,HEV,2.1,73480
4541,Lucid,Australia,New South Wales,Sydney,179,99.3,Solid-State,178,284,191,Tesla Supercharger,5,RWD,PHEV,2.8,110096
4542,Volkswagen,China,Guangdong,Shenzhen,176,113.2,Solid-State,180.6,367,168,CHAdeMO,5,AWD,PHEV,4,118747
4543,Tata,South Korea,Incheon,Incheon,246,122,Li-ion,150.9,400,89,CCS,6,RWD,BEV,4.6,125064
4544,BYD,UK,England,Manchester,297,156.2,Solid-State,170,560,276,CCS,5,RWD,BEV,3.1,154624
4545,Kia,Germany,Hesse,Frankfurt,177,184.4,Li-ion,150.9,604,135,Tesla Supercharger,5,FWD,PHEV,4.3,109988
4546,Tata,Germany,Berlin,Berlin,186,44.1,Li-ion,169.7,342,62,CHAdeMO,4,FWD,BEV,4.9,140787
4547,BYD,China,Beijing,Beijing,130,193.5,Solid-State,178.5,769,261,Type 2,4,FWD,HEV,3.9,124152
4548,Kia,UK,England,Birmingham,224,166.4,NiMH,197.4,721,281,Tesla Supercharger,6,AWD,BEV,3.9,169775
4549,BMW,France,Provence-Alpes-Côte d'Azur,Marseille,142,194.9,Li-ion,185.6,738,206,CHAdeMO,7,FWD,HEV,2.7,192375
4550,Tata,South Korea,Busan,Busan,152,135,Solid-State,184.6,712,252,CHAdeMO,4,FWD,HEV,4.8,71713
4551,Tata,Japan,Osaka,Osaka,171,59.2,NiMH,192.2,601,86,CCS,7,RWD,HEV,4.3,198555
4552,BMW,Germany,Bavaria,Munich,218,79.9,NiMH,199.8,458,261,Tesla Supercharger,7,FWD,PHEV,4.3,191518
4553,Kia,Australia,Victoria,Melbourne,158,103.5,Li-ion,134.7,215,51,Tesla Supercharger,6,FWD,BEV,3.2,167368
4554,Tata,USA,IL,Chicago,264,43.7,NiMH,218.7,670,175,CCS,2,RWD,HEV,3.6,156473
4555,BMW,Australia,New South Wales,Sydney,161,135.9,Li-ion,158,478,132,CHAdeMO,4,AWD,PHEV,2.1,81199
4556,Hyundai,USA,Seattle,Washington,263,136,Li-ion,194.1,375,85,CHAdeMO,2,FWD,BEV,2,124391
4557,Kia,USA,Seattle,Washington,197,125.8,NiMH,132.4,358,67,Type 2,6,AWD,HEV,4.5,83442
4558,Lucid,USA,NY,New York,199,86.8,Li-ion,183.7,485,121,CHAdeMO,4,RWD,BEV,3.4,103887
4559,Hyundai,South Korea,Incheon,Incheon,284,145.3,Li-ion,173.4,587,128,CHAdeMO,4,FWD,BEV,3.7,105814
4560,Kia,UK,England,Manchester,176,44.1,NiMH,218.2,795,159,Type 2,2,FWD,PHEV,4.1,132183
4561,Tesla,Japan,Tokyo,Tokyo,244,64,Li-ion,143.7,523,296,Tesla Supercharger,7,RWD,PHEV,2.6,85590
4562,BMW,South Korea,Seoul,Seoul,174,163.9,NiMH,180.2,304,53,CHAdeMO,7,RWD,HEV,2.4,199664
4563,Nissan,India,Maharashtra,Mumbai,255,103,Li-ion,154.6,345,117,CHAdeMO,5,FWD,PHEV,2.2,85939
4564,Ford,UK,England,Birmingham,156,62.7,Li-ion,162.7,599,222,Type 2,6,RWD,BEV,3.9,89832
4565,Volkswagen,France,Île-de-France,Paris,186,70.5,Li-ion,141.2,754,209,CHAdeMO,7,AWD,BEV,4.1,144331
4566,BMW,USA,CA,Los Angeles,231,132.8,Solid-State,165.1,729,55,CHAdeMO,6,AWD,PHEV,4.2,115292
4567,BMW,Germany,Hesse,Frankfurt,234,170.6,Solid-State,189.7,637,108,CHAdeMO,5,RWD,PHEV,4.4,146772
4568,BYD,South Korea,Busan,Busan,197,163.4,NiMH,144.2,643,238,CCS,4,AWD,PHEV,4.1,123816
4569,Kia,Australia,Victoria,Melbourne,166,86.4,Solid-State,202.3,679,244,CHAdeMO,5,RWD,BEV,2.1,84298
4570,BYD,India,Tamil Nadu,Chennai,250,72,Li-ion,217.4,734,89,CHAdeMO,6,FWD,BEV,4.8,124989
4571,Nissan,France,Île-de-France,Paris,160,41.3,Solid-State,187.3,545,293,CHAdeMO,6,RWD,HEV,2.6,75724
4572,Tesla,USA,CA,Los Angeles,169,36.5,Li-ion,148.1,697,287,CCS,2,AWD,BEV,4.5,185548
4573,Tata,India,Maharashtra,Mumbai,248,122.4,Li-ion,207,546,239,Tesla Supercharger,2,RWD,BEV,3.7,76657
4574,BMW,Japan,Tokyo,Tokyo,272,120.9,Solid-State,154.8,756,77,Type 2,6,RWD,HEV,4.9,88374
4575,Tesla,Australia,Queensland,Brisbane,290,177.9,NiMH,168,264,254,Tesla Supercharger,2,FWD,PHEV,4.7,180263
4576,Tesla,India,Tamil Nadu,Chennai,189,57.9,NiMH,135.8,510,111,Tesla Supercharger,4,FWD,PHEV,4.8,168426
4577,Tesla,Canada,British Columbia,Vancouver,126,31.1,NiMH,160.7,554,78,Type 2,7,FWD,PHEV,2.7,97126
4578,BMW,Canada,Quebec,Montreal,167,63,Solid-State,204.8,398,159,Type 2,2,RWD,BEV,3.5,124117
4579,Tesla,USA,CA,Los Angeles,281,114.7,Solid-State,152.2,443,252,Type 2,7,FWD,PHEV,4.5,154243
4580,Tesla,South Korea,Busan,Busan,234,151.5,Li-ion,154.2,593,270,CCS,2,RWD,BEV,4.2,146535
4581,Lucid,Australia,Victoria,Melbourne,168,196.5,Solid-State,185.2,269,249,CCS,5,AWD,HEV,3.3,161587
4582,BYD,Canada,Ontario,Toronto,287,59.4,Solid-State,160.3,541,278,Tesla Supercharger,2,AWD,HEV,4.9,75697
4583,Lucid,Canada,Quebec,Montreal,129,103.8,Li-ion,150.9,438,186,CCS,7,AWD,BEV,4.7,144153
4584,Tata,India,Delhi,Delhi,170,72.2,Li-ion,156.2,376,323,CCS,5,AWD,BEV,4.2,120625
4585,Ford,UK,England,Manchester,215,163.2,Li-ion,166.5,799,189,Type 2,2,RWD,PHEV,3.7,112972
4586,Nissan,Australia,New South Wales,Sydney,225,109.3,NiMH,197.6,698,350,Tesla Supercharger,7,FWD,HEV,2.1,72151
4587,Hyundai,Canada,Ontario,Toronto,208,104.7,Li-ion,165.4,359,321,CHAdeMO,4,RWD,HEV,3.3,110904
4588,BYD,South Korea,Seoul,Seoul,244,89.4,Solid-State,203.4,233,59,CCS,4,FWD,HEV,3.3,171162
4589,Volkswagen,Japan,Osaka,Osaka,121,140.7,NiMH,180.1,229,92,Type 2,5,RWD,PHEV,3.3,87630
4590,Lucid,France,Auvergne-Rhône-Alpes,Lyon,208,40.9,Solid-State,136,338,306,CCS,4,RWD,BEV,4.8,176563
4591,Ford,Canada,Quebec,Montreal,247,78.8,NiMH,173.8,552,112,CHAdeMO,6,AWD,PHEV,4.7,140729
4592,Ford,USA,IL,Chicago,216,69.4,Solid-State,191.7,239,71,CHAdeMO,6,FWD,PHEV,2.3,86302
4593,BMW,Germany,Berlin,Berlin,166,133.7,Solid-State,177,715,199,CCS,7,FWD,PHEV,3.9,170632
4594,Tata,India,Delhi,Delhi,296,81.2,Solid-State,168.2,677,312,CCS,7,FWD,BEV,2.3,147272
4595,Hyundai,India,Karnataka,Bangalore,154,58.2,NiMH,149.6,267,209,CHAdeMO,4,FWD,PHEV,3.4,186869
4596,Volkswagen,Australia,Queensland,Brisbane,281,153.9,Li-ion,153.2,785,323,CHAdeMO,2,AWD,PHEV,4,111175
4597,Ford,India,Karnataka,Bangalore,182,158.8,Li-ion,211.4,483,227,CCS,4,AWD,HEV,3.4,138400
4598,Tata,Canada,British Columbia,Vancouver,139,30.6,Solid-State,181.5,282,184,Type 2,6,RWD,BEV,2,70800
4599,Tesla,Australia,New South Wales,Sydney,145,120.6,Solid-State,135.5,628,328,CHAdeMO,4,AWD,BEV,2.2,119467
4600,Tesla,China,Guangdong,Shenzhen,142,162,NiMH,201.6,675,173,CHAdeMO,7,FWD,PHEV,3.9,154045
4601,Volkswagen,USA,Seattle,Washington,158,42.6,NiMH,185.9,218,270,Type 2,5,AWD,PHEV,3.1,118550
4602,Tesla,India,Karnataka,Bangalore,132,165.7,Solid-State,191.4,704,92,Type 2,2,RWD,PHEV,3,158501
4603,Nissan,Australia,Queensland,Brisbane,186,179.2,NiMH,138.4,638,98,CCS,7,RWD,BEV,4.7,171840
4604,BMW,China,Guangdong,Shenzhen,249,92.9,Li-ion,181,447,76,CCS,5,AWD,BEV,2.5,146256
4605,Kia,UK,England,Manchester,279,109.6,NiMH,139.2,620,113,CCS,7,RWD,HEV,2.1,178916
4606,Tesla,USA,CA,Los Angeles,241,69.3,NiMH,212.3,647,255,Tesla Supercharger,5,AWD,HEV,3,194851
4607,Hyundai,France,Auvergne-Rhône-Alpes,Lyon,265,37.3,Solid-State,136.2,435,329,Type 2,5,FWD,PHEV,4.9,189183
4608,Hyundai,India,Tamil Nadu,Chennai,244,59,NiMH,201.9,229,253,CHAdeMO,5,AWD,BEV,4.3,161468
4609,Tesla,France,Île-de-France,Paris,127,133,NiMH,139.7,739,143,Tesla Supercharger,7,RWD,HEV,2.3,70013
4610,Kia,India,Karnataka,Bangalore,126,107.3,NiMH,137.7,294,135,CCS,5,AWD,BEV,3.5,149665
4611,BYD,France,Provence-Alpes-Côte d'Azur,Marseille,177,118.7,Solid-State,159,533,191,Type 2,7,FWD,PHEV,2.5,95189
4612,Tata,USA,NY,New York,233,69.6,Li-ion,171.9,552,294,CCS,7,FWD,HEV,3.6,197881
4613,Volkswagen,USA,Seattle,Washington,258,68.5,Solid-State,177.4,620,82,Tesla Supercharger,5,RWD,PHEV,3.3,186963
4614,Tesla,India,Delhi,Delhi,131,188.7,Solid-State,208,772,277,Tesla Supercharger,4,RWD,BEV,2.8,148034
4615,Nissan,Germany,Berlin,Berlin,209,52.3,Li-ion,191.1,553,153,Type 2,7,RWD,PHEV,2,157413
4616,BYD,France,Provence-Alpes-Côte d'Azur,Marseille,226,119.5,Solid-State,213.3,375,277,CHAdeMO,5,RWD,HEV,2.6,176479
4617,Tesla,China,Shanghai,Shanghai,155,62,NiMH,196.1,274,119,CHAdeMO,7,RWD,PHEV,2.3,167912
4618,BMW,France,Île-de-France,Paris,132,55.3,NiMH,152.2,505,109,Tesla Supercharger,4,AWD,BEV,4.6,109668
4619,Volkswagen,USA,NY,New York,243,170.4,Solid-State,186.1,299,340,CHAdeMO,7,FWD,HEV,3.1,82696
4620,Lucid,Germany,Berlin,Berlin,229,180.7,NiMH,170.6,381,201,CCS,2,RWD,BEV,4.4,164568
4621,Kia,South Korea,Incheon,Incheon,235,108.8,Li-ion,184.7,683,189,Type 2,6,AWD,HEV,4.7,89254
4622,Volkswagen,Germany,Hesse,Frankfurt,261,59.9,NiMH,182.7,339,297,CCS,2,RWD,PHEV,2.9,139855
4623,Ford,South Korea,Seoul,Seoul,213,142.4,Solid-State,147.2,574,312,Type 2,4,FWD,BEV,3.1,165465
4624,Nissan,Australia,New South Wales,Sydney,263,95,Solid-State,158.8,497,209,CHAdeMO,2,FWD,BEV,4.6,118960
4625,Tata,Japan,Tokyo,Tokyo,227,115,Li-ion,209.1,348,67,Tesla Supercharger,6,FWD,PHEV,4,158003
4626,Tesla,South Korea,Busan,Busan,240,52.7,NiMH,213.7,246,105,Type 2,7,AWD,BEV,4.3,133980
4627,Kia,Australia,New South Wales,Sydney,185,124.7,Solid-State,214,363,300,Type 2,2,FWD,PHEV,3,71844
4628,Tata,South Korea,Incheon,Incheon,228,44.1,Li-ion,146.9,511,79,Type 2,4,FWD,PHEV,2.5,136375
4629,Lucid,Germany,Hesse,Frankfurt,236,125.7,Li-ion,202,284,158,CCS,6,FWD,BEV,4.4,171522
4630,BYD,Australia,Queensland,Brisbane,237,182.6,NiMH,169.6,641,274,CCS,6,FWD,PHEV,2.3,105499
4631,Kia,Germany,Bavaria,Munich,164,99.2,NiMH,162.7,704,71,CCS,6,FWD,BEV,3.4,157527
4632,Nissan,China,Beijing,Beijing,151,161.4,Solid-State,210.1,219,256,CHAdeMO,6,FWD,PHEV,2.6,103120
4633,Hyundai,Australia,Queensland,Brisbane,261,172.6,Li-ion,168.8,732,262,CCS,6,AWD,PHEV,2.9,115689
4634,Tesla,Germany,Berlin,Berlin,224,48,NiMH,164,687,177,Type 2,2,FWD,HEV,4,197629
4635,Volkswagen,Canada,British Columbia,Vancouver,145,184.3,NiMH,163,328,302,CCS,4,AWD,HEV,2.7,164120
4636,Lucid,Australia,Queensland,Brisbane,139,130.4,NiMH,189.9,419,264,Type 2,5,FWD,BEV,2.2,165492
4637,BYD,China,Guangdong,Shenzhen,137,199.1,NiMH,195.9,338,320,CHAdeMO,6,RWD,HEV,4.7,95049
4638,Kia,Australia,Queensland,Brisbane,299,66.2,Solid-State,168.5,678,166,CHAdeMO,6,RWD,HEV,3.2,129005
4639,Tesla,South Korea,Seoul,Seoul,142,74.6,Li-ion,203.8,548,120,Type 2,7,AWD,PHEV,2.1,191324
4640,BYD,South Korea,Seoul,Seoul,156,160.5,Solid-State,166.1,465,296,Tesla Supercharger,7,RWD,PHEV,2.8,197166
4641,BMW,Germany,Berlin,Berlin,125,98.1,Solid-State,212,245,128,Type 2,4,AWD,BEV,2.6,165348
4642,Tesla,France,Auvergne-Rhône-Alpes,Lyon,273,130.6,Li-ion,189.1,732,57,Type 2,7,FWD,HEV,3,147809
4643,Tesla,France,Provence-Alpes-Côte d'Azur,Marseille,172,139.1,Li-ion,191.4,350,270,CHAdeMO,4,RWD,PHEV,5,179976
4644,Hyundai,UK,England,London,167,152.4,Li-ion,217.6,693,336,Tesla Supercharger,6,AWD,BEV,3.1,160211
4645,Volkswagen,Canada,Ontario,Toronto,205,131.2,Solid-State,194.5,737,297,CCS,4,FWD,HEV,4.4,75646
4646,Ford,France,Auvergne-Rhône-Alpes,Lyon,130,156,Solid-State,170.5,512,104,Tesla Supercharger,7,RWD,PHEV,4,107605
4647,Ford,USA,Seattle,Washington,145,83.7,NiMH,217.3,578,58,Type 2,5,RWD,PHEV,3.7,152062
4648,BMW,India,Maharashtra,Mumbai,197,124.3,Li-ion,181.3,518,135,Tesla Supercharger,2,RWD,PHEV,2.9,112378
4649,BMW,Germany,Hesse,Frankfurt,229,38.6,NiMH,145.9,341,127,Type 2,5,AWD,HEV,3.9,125042
4650,Ford,Japan,Tokyo,Tokyo,178,175.6,NiMH,195.6,299,287,CCS,5,AWD,HEV,4.1,121020
4651,Kia,France,Provence-Alpes-Côte d'Azur,Marseille,217,47.6,Solid-State,185.2,319,89,CHAdeMO,6,AWD,PHEV,2.8,81822
4652,Kia,China,Beijing,Beijing,241,102.9,Li-ion,191,473,207,Type 2,2,AWD,PHEV,4,99814
4653,Ford,Australia,New South Wales,Sydney,129,121.8,NiMH,212.4,343,316,CHAdeMO,5,AWD,BEV,2.8,131196
4654,BMW,USA,CA,Los Angeles,272,44.1,Li-ion,213.7,265,127,Tesla Supercharger,7,RWD,BEV,3.9,164310
4655,Hyundai,UK,England,London,228,100.5,NiMH,146,246,267,Tesla Supercharger,6,RWD,BEV,4.1,137505
4656,Ford,Canada,British Columbia,Vancouver,137,41.9,Li-ion,194.4,334,64,CCS,5,FWD,BEV,4.6,113945
4657,Hyundai,France,Auvergne-Rhône-Alpes,Lyon,238,197.1,NiMH,170.1,293,189,CCS,2,RWD,HEV,3.6,123252
4658,BYD,UK,England,Birmingham,249,190,Li-ion,202.6,225,179,Tesla Supercharger,4,RWD,HEV,4.6,197087
4659,Ford,Canada,British Columbia,Vancouver,218,77,Li-ion,208,697,124,CCS,2,FWD,BEV,2.9,143215
4660,Tata,Canada,British Columbia,Vancouver,226,102,Li-ion,145.8,525,238,Tesla Supercharger,7,RWD,PHEV,3,176002
4661,Nissan,China,Shanghai,Shanghai,245,36.5,Li-ion,161.2,342,318,Tesla Supercharger,5,FWD,HEV,2.1,192109
4662,BMW,Canada,Ontario,Toronto,229,37.4,NiMH,217.1,382,176,Tesla Supercharger,6,FWD,BEV,3,83404
4663,Tata,USA,NY,New York,246,73.8,NiMH,206.6,351,113,CHAdeMO,2,AWD,HEV,4.3,74769
4664,Volkswagen,USA,Seattle,Washington,295,85.7,Li-ion,162.6,538,247,CHAdeMO,4,AWD,PHEV,2.9,123548
4665,Ford,Australia,New South Wales,Sydney,206,107.6,Solid-State,185.7,207,346,Tesla Supercharger,2,AWD,HEV,2.9,151134
4666,BYD,USA,IL,Chicago,124,175,Li-ion,165.1,615,118,Tesla Supercharger,2,FWD,PHEV,4.6,73303
4667,Tesla,Canada,British Columbia,Vancouver,181,68.6,Li-ion,154.9,695,295,Type 2,7,AWD,HEV,3.7,182314
4668,Tesla,South Korea,Incheon,Incheon,228,189.7,Li-ion,135.1,254,83,CCS,6,AWD,HEV,4.2,134943
4669,Ford,China,Beijing,Beijing,254,87.6,Li-ion,160.7,658,68,CHAdeMO,5,FWD,BEV,3.3,185525
4670,Tesla,Germany,Hesse,Frankfurt,133,69.7,NiMH,215.6,704,70,Tesla Supercharger,7,FWD,HEV,4.9,102023
4671,Volkswagen,South Korea,Busan,Busan,215,40,Li-ion,166.2,771,222,CHAdeMO,7,AWD,PHEV,4.2,119260
4672,Tata,Australia,Queensland,Brisbane,184,197.1,Li-ion,217.4,572,120,Tesla Supercharger,6,RWD,PHEV,4.8,126554
4673,Tata,UK,England,London,126,88.7,Li-ion,197.6,613,341,Type 2,5,FWD,BEV,3.2,184218
4674,Volkswagen,Canada,Ontario,Toronto,156,87.6,Li-ion,212.5,453,68,CCS,7,AWD,PHEV,4.6,79514
4675,Volkswagen,Germany,Bavaria,Munich,150,92.5,NiMH,147.3,702,173,CCS,6,RWD,BEV,3,83395
4676,Hyundai,Australia,Queensland,Brisbane,230,156.8,Li-ion,167.8,791,350,Type 2,2,RWD,HEV,3.1,83128
4677,Tesla,India,Delhi,Delhi,181,137.1,NiMH,178.5,754,316,Type 2,4,RWD,BEV,2.4,71253
4678,BYD,South Korea,Busan,Busan,235,81.3,Li-ion,171.9,701,68,Type 2,5,FWD,PHEV,2.6,171666
4679,BYD,France,Île-de-France,Paris,127,192.1,Li-ion,143.9,283,203,Tesla Supercharger,4,AWD,BEV,2.9,180227
4680,Tata,UK,England,London,155,111.1,Solid-State,139.2,460,271,Tesla Supercharger,4,FWD,HEV,2.4,87881
4681,Lucid,South Korea,Seoul,Seoul,166,195.7,Li-ion,172.3,481,90,CCS,5,AWD,BEV,3.8,157764
4682,Tata,South Korea,Incheon,Incheon,153,138.4,Solid-State,159.1,733,109,CHAdeMO,7,AWD,PHEV,4.4,182468
4683,Tesla,UK,England,Birmingham,296,177.6,Li-ion,196.4,770,349,CHAdeMO,6,AWD,BEV,3.4,79982
4684,BMW,France,Provence-Alpes-Côte d'Azur,Marseille,256,176.4,NiMH,201.6,677,194,Tesla Supercharger,2,FWD,PHEV,4.1,102750
